id;adresse_norm
998624;5467  LE GATINAUD 87620 SEREILHAC
998625;5641  LES PIEUX 87620 SEREILHAC
998619;180 PAS DU GATINAUD 87620 SEREILHAC
998620;331 PAS DU GATINAUD 87620 SEREILHAC
998629;31 RUE SUZANNE VALADON 87620 SEREILHAC
998630;14 RUE TOULOUSE LAUTREC 87620 SEREILHAC
998627;28 RUE PASTEUR 87620 SEREILHAC
998628;8 RUE ST ELOI 87620 SEREILHAC
998643;2  LE FRAISSE 87640 RAZES
998637;5 RUE DE LA LIBERATION 87640 RAZES
998631;5339  VILLENEUVE NORD 87620 SEREILHAC
998633;30  CHARENSANNE 87640 RAZES
998641;7 ALL DU PUY GRENET 87640 RAZES
998634;5341  CHARENSANNE 87640 RAZES
998632;28  CHANTELOUBE 87640 RAZES
998639;10 RUE DE LIMOGES 87640 RAZES
998638; RUE DE LIMOGES 87640 RAZES
998636;12 RUE DE LA GARENNE 87640 RAZES
998635;6 RUE DE LA FONT DU CHIEN 87640 RAZES
998642;17  LAVAUD JALOUNAUD 87640 RAZES
998644;21  LE FRAISSE 87640 RAZES
998650;28 RUE CHARLES PEGUY 87700 AIXE-SUR-VIENNE
998647;1 ALL PIERRE DESPROGES 87640 RAZES
998646;3  LE PASSIN 87640 RAZES
998645;6  LE GOT 87640 RAZES
998640;5 RUE DU 11 NOVEMBRE 1918 87640 RAZES
998654;11 RUE D ARLIQUET 87700 AIXE-SUR-VIENNE
998651;23 RUE CHATEAUBRIAND 87700 AIXE-SUR-VIENNE
998656;5 RUE D ISLY 87700 AIXE-SUR-VIENNE
998652;36 RUE CHATEAUBRIAND 87700 AIXE-SUR-VIENNE
998655;9012 RUE D ARLIQUET 87700 AIXE-SUR-VIENNE
998653;9  CHEZ CAILLAUD 87700 AIXE-SUR-VIENNE
998649;5  BEAUBONNAT 87700 AIXE-SUR-VIENNE
998661;11 ALL DE LA GUERINIERE 87700 AIXE-SUR-VIENNE
998648;39 RUE AUGUSTE RENOIR 87700 AIXE-SUR-VIENNE
998658;46 RUE DE BELLEVUE 87700 AIXE-SUR-VIENNE
998657;16 RUE DE BELAIR 87700 AIXE-SUR-VIENNE
998670;3 RUE DES LORIOTS 87700 AIXE-SUR-VIENNE
998660;3 IMP DE L'ESTRE 87700 AIXE-SUR-VIENNE
998666;2 RTE DE POMPADOUR 87700 AIXE-SUR-VIENNE
998664;4 AV DE MALASSERT 87700 AIXE-SUR-VIENNE
998669;14 RTE DES GRANDES VIGNES 87700 AIXE-SUR-VIENNE
998668;4 RUE DES BOUVREUILS 87700 AIXE-SUR-VIENNE
998667;27 RTE DE POMPADOUR 87700 AIXE-SUR-VIENNE
998662;40 RUE DE LA POUGE 87700 AIXE-SUR-VIENNE
998659;12 RUE DE COGNAC 87700 AIXE-SUR-VIENNE
998672;38 AV DES VILLAS 87700 AIXE-SUR-VIENNE
998676;4 RUE DU BARRY 87700 AIXE-SUR-VIENNE
998663;9 RTE DE LIMOGES 87700 AIXE-SUR-VIENNE
998665;16 CHE DE PANGUET 87700 AIXE-SUR-VIENNE
998671;9 RUE DES ROSES 87700 AIXE-SUR-VIENNE
998674;6 AV DU 19 MARS 1962 87700 AIXE-SUR-VIENNE
998675;8 AV DU 19 MARS 1962 87700 AIXE-SUR-VIENNE
